EVENT,URL,DATE,LOCATION
DWCS 1.1,http://ufcstats.com/event-details/88b250ba222c3a98,2017-07-11,"Las Vegas, Nevada, USA"
DWCS 1.2,http://ufcstats.com/event-details/b0c95dc8e858452c,2017-07-18,"Las Vegas, Nevada, USA"
DWCS 1.3,http://ufcstats.com/event-details/55b8dc4e54fe2c59,2017-07-25,"Las Vegas, Nevada, USA"
DWCS 1.4,http://ufcstats.com/event-details/5f2197acaba7d5ef,2017-08-01,"Las Vegas, Nevada, USA"
DWCS 1.5,http://ufcstats.com/event-details/d30415ec5e8783cd,2017-08-08,"Las Vegas, Nevada, USA"
DWCS 1.6,http://ufcstats.com/event-details/3a7513372f79c8c8,2017-08-15,"Las Vegas, Nevada, USA"
DWCS 1.7,http://ufcstats.com/event-details/06c60fc2c8dcd7bd,2017-08-22,"Las Vegas, Nevada, USA"
DWCS 1.8,http://ufcstats.com/event-details/22af3546bd967280,2017-08-29,"Las Vegas, Nevada, USA"
DWCS 2.1,http://ufcstats.com/event-details/3bbcd63a016d9715,2018-06-12,"Las Vegas, Nevada, USA"
DWCS 2.2,http://ufcstats.com/event-details/edd8d5d8089a35f8,2018-06-19,"Las Vegas, Nevada, USA"
DWCS 2.3,http://ufcstats.com/event-details/5b407acfe0ef9b76,2018-06-26,"Las Vegas, Nevada, USA"
DWCS 2.4,http://ufcstats.com/event-details/a8e133139286df84,2018-07-10,"Las Vegas, Nevada, USA"
DWCS 2.5,http://ufcstats.com/event-details/d227958e8a0c1466,2018-07-17,"Las Vegas, Nevada, USA"
DWCS 2.6,http://ufcstats.com/event-details/af70d268e5352186,2018-07-24,"Las Vegas, Nevada, USA"
DWCS 2.7,http://ufcstats.com/event-details/b35d1650c78c2948,2018-07-31,"Las Vegas, Nevada, USA"
DWCS 2.8,http://ufcstats.com/event-details/478c8706bdb92440,2018-08-07,"Las Vegas, Nevada, USA"
DWCS Brazil 1.1,http://ufcstats.com/event-details/fe1fdc6be470f773,2018-08-10,"Las Vegas, Nevada, USA"
DWCS Brazil 1.2,http://ufcstats.com/event-details/c9b7071f15ac838c,2018-08-11,"Las Vegas, Nevada, USA"
