EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL,fightURL,fighter1Url,fighter2Url
UFC Fight Night: Song vs. Simon ,Song Yadong  vs. Ricky Simon ,W/L,Bantamweight Bout,KO/TKO ,5,1:10,5 Rnd (5-5-5-5-5),Herb Dean,Punch to Head At Distance ,http://ufcstats.com/fight-details/2b1ac5d8f98639bf,http://ufcstats.com/fight-details/2b1ac5d8f98639bf,http://ufcstats.com/fighter-details/efb96bf3e9ada36f,http://ufcstats.com/fighter-details/5987b2458f4b5290
UFC Fight Night: Song vs. Simon ,Caio Borralho  vs. Michal Oleksiejczuk ,W/L,Middleweight Bout,Submission ,2,2:49,3 Rnd (5-5-5),Jason Herzog,Rear Naked Choke ,http://ufcstats.com/fight-details/ecec1b0dd64ca2ae,http://ufcstats.com/fight-details/ecec1b0dd64ca2ae,http://ufcstats.com/fighter-details/4126a78111c0855a,http://ufcstats.com/fighter-details/0d65c432720accb9
UFC Fight Night: Song vs. Simon ,Rodolfo Vieira  vs. Cody Brundage ,W/L,Middleweight Bout,Submission ,2,1:28,3 Rnd (5-5-5),Mark Smith,Arm Triangle From Mount ,http://ufcstats.com/fight-details/37ae5c09d6f03f33,http://ufcstats.com/fight-details/37ae5c09d6f03f33,http://ufcstats.com/fighter-details/260e9e0d4954aea6,http://ufcstats.com/fighter-details/f14f644d41ade29f
UFC Fight Night: Song vs. Simon ,Julian Erosa  vs. Fernando Padilla ,L/W,Featherweight Bout,KO/TKO ,1,1:41,3 Rnd (5-5-5),Chris Tognoni,Punches to Head At Distance ,http://ufcstats.com/fight-details/e0e2c1fc1a178d89,http://ufcstats.com/fight-details/e0e2c1fc1a178d89,http://ufcstats.com/fighter-details/902ec2cc48c8ae8a,http://ufcstats.com/fighter-details/d2f43cfaf8ca3560
UFC Fight Night: Song vs. Simon ,Marcos Rogerio de Lima  vs. Waldo Cortes-Acosta ,W/L,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Mike Bell 28 - 29.Eric Colon 28 - 29.Anthony Maness 28 - 29.,http://ufcstats.com/fight-details/8dbfbd8f8bd0f00b,http://ufcstats.com/fight-details/8dbfbd8f8bd0f00b,http://ufcstats.com/fighter-details/ab943cd2c3c17825,http://ufcstats.com/fighter-details/fc08099550072fe4
UFC Fight Night: Song vs. Simon ,Josh Quinlan  vs. Trey Waters ,L/W,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Eric Colon 27 - 30.Chris Lee 27 - 30.Tony Weeks 27 - 30.,http://ufcstats.com/fight-details/c02d44564cb006a9,http://ufcstats.com/fight-details/c02d44564cb006a9,http://ufcstats.com/fighter-details/876f478f796495f7,http://ufcstats.com/fighter-details/31dbfbe4e7a6727c
UFC Fight Night: Song vs. Simon ,Martin Buday  vs. Jake Collier ,W/L,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,Sal D'amato 28 - 29.Junichiro Kamijo 28 - 29.Anthony Maness 28 - 29.,http://ufcstats.com/fight-details/5d11b618f24082dd,http://ufcstats.com/fight-details/5d11b618f24082dd,http://ufcstats.com/fighter-details/8eb046f83e82bf26,http://ufcstats.com/fighter-details/92fa1401b7927da3
UFC Fight Night: Song vs. Simon ,Cody Durden  vs. Charles Johnson ,W/L,Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 27 - 30.Adalaide Byrd 27 - 30.Sal D'amato 27 - 30.,http://ufcstats.com/fight-details/ca63933f8c898fa2,http://ufcstats.com/fight-details/ca63933f8c898fa2,http://ufcstats.com/fighter-details/7f6ed67d3ed3c036,http://ufcstats.com/fighter-details/814e5233e2acf2ee
UFC Fight Night: Song vs. Simon ,Stephanie Egger  vs. Irina Alekseeva ,L/W,Women's Bantamweight Bout,Submission ,1,2:11,3 Rnd (5-5-5),Jason Herzog,Kneebar After Drop to Ground ,http://ufcstats.com/fight-details/f9345fa82bf43847,http://ufcstats.com/fight-details/f9345fa82bf43847,http://ufcstats.com/fighter-details/5e6294b37bbef029,http://ufcstats.com/fighter-details/103e2e33a60683e1
UFC Fight Night: Song vs. Simon ,Journey Newson  vs. Marcus McGhee ,L/W,Catch Weight Bout,Submission ,2,2:03,3 Rnd (5-5-5),Mark Smith,Rear Naked Choke ,http://ufcstats.com/fight-details/88a63555728c2025,http://ufcstats.com/fight-details/88a63555728c2025,http://ufcstats.com/fighter-details/78f485f851891d68,http://ufcstats.com/fighter-details/c0ac37a4a1133da9
